Distance,Approach,Status
,,No Face
,,No Face
19.54,0,TOO CLOSE
,,No Face
,,No Face
,,No Face
19.48,0,TOO CLOSE
19.48,0,TOO CLOSE
,,No Face
21.66,1,TOO CLOSE
21.58,0,TOO CLOSE
22.22,0,TOO CLOSE
21.05,-1,TOO CLOSE
23.35,1,TOO CLOSE
,,No Face
,,No Face
20.62,-1,TOO CLOSE
20.76,0,TOO CLOSE
23.44,1,TOO CLOSE
26.67,1,TOO CLOSE
22.14,-1,TOO CLOSE
,,No Face
37.74,1,Safe
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
27.03,-1,TOO CLOSE
22.06,-1,TOO CLOSE
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
21.74,0,TOO CLOSE
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
19.42,-1,TOO CLOSE
20.91,1,TOO CLOSE
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
49.59,1,Safe
57.14,1,Safe
58.25,1,Safe
60.0,1,Safe
57.69,-1,Safe
61.86,1,Safe
66.67,1,Safe
63.16,-1,Safe
61.22,-1,Safe
62.5,1,Safe
66.67,1,Safe
66.67,0,Safe
62.5,-1,Safe
61.22,-1,Safe
63.16,1,Safe
65.93,1,Safe
64.52,-1,Safe
59.41,-1,Safe
58.82,0,Safe
60.61,1,Safe
59.41,-1,Safe
57.14,-1,Safe
58.25,1,Safe
63.83,1,Safe
35.93,-1,Safe
46.15,1,Safe
47.24,1,Safe
63.16,1,Safe
57.14,-1,Safe
57.69,0,Safe
59.41,1,Safe
50.85,-1,Safe
49.59,-1,Safe
61.22,1,Safe
65.22,1,Safe
64.52,0,Safe
62.5,-1,Safe
55.05,-1,Safe
48.39,-1,Safe
47.24,-1,Safe
44.78,-1,Safe
51.72,1,Safe
55.56,1,Safe
49.59,-1,Safe
52.17,1,Safe
60.0,1,Safe
49.59,-1,Safe
46.15,-1,Safe
47.24,1,Safe
52.63,1,Safe
44.78,-1,Safe
47.62,1,Safe
45.45,-1,Safe
42.55,-1,Safe
40.27,-1,Safe
65.22,1,Safe
42.86,-1,Safe
63.83,1,Safe
45.45,-1,Safe
61.22,1,Safe
44.44,-1,Safe
61.86,1,Safe
61.86,0,Safe
63.83,1,Safe
44.12,-1,Safe
42.86,-1,Safe
65.22,1,Safe
43.48,-1,Safe
59.41,1,Safe
64.52,1,Safe
62.5,-1,Safe
48.78,-1,Safe
64.52,1,Safe
61.22,-1,Safe
61.86,0,Safe
59.41,-1,Safe
61.86,1,Safe
62.5,0,Safe
61.86,0,Safe
64.52,1,Safe
63.16,-1,Safe
61.86,-1,Safe
60.61,-1,Safe
58.82,-1,Safe
60.0,1,Safe
48.0,-1,Safe
57.69,1,Safe
57.14,0,Safe
51.28,-1,Safe
64.52,1,Safe
63.16,-1,Safe
50.85,-1,Safe
65.93,1,Safe
65.93,0,Safe
63.16,-1,Safe
65.22,1,Safe
42.25,-1,Safe
