Distance,Approach,Status
26.09,0,TOO CLOSE
26.55,0,TOO CLOSE
27.03,0,TOO CLOSE
25.53,-1,TOO CLOSE
25.1,0,TOO CLOSE
25.21,0,TOO CLOSE
24.79,0,TOO CLOSE
25.32,0,TOO CLOSE
24.69,0,TOO CLOSE
24.49,0,TOO CLOSE
24.69,0,TOO CLOSE
24.69,0,TOO CLOSE
24.39,0,TOO CLOSE
24.1,0,TOO CLOSE
24.59,0,TOO CLOSE
25.42,0,TOO CLOSE
25.32,0,TOO CLOSE
25.1,0,TOO CLOSE
24.59,0,TOO CLOSE
24.49,0,TOO CLOSE
24.39,0,TOO CLOSE
24.29,0,TOO CLOSE
24.69,0,TOO CLOSE
24.79,0,TOO CLOSE
24.79,0,TOO CLOSE
24.79,0,TOO CLOSE
24.29,0,TOO CLOSE
24.9,0,TOO CLOSE
24.49,0,TOO CLOSE
25.0,0,TOO CLOSE
24.9,0,TOO CLOSE
24.9,0,TOO CLOSE
24.9,0,TOO CLOSE
25.0,0,TOO CLOSE
24.9,0,TOO CLOSE
24.79,0,TOO CLOSE
24.59,0,TOO CLOSE
24.9,0,TOO CLOSE
24.59,0,TOO CLOSE
24.69,0,TOO CLOSE
24.59,0,TOO CLOSE
25.0,0,TOO CLOSE
24.39,0,TOO CLOSE
24.29,0,TOO CLOSE
24.0,0,TOO CLOSE
24.19,0,TOO CLOSE
24.19,0,TOO CLOSE
24.59,0,TOO CLOSE
24.29,0,TOO CLOSE
24.39,0,TOO CLOSE
24.79,0,TOO CLOSE
25.1,0,TOO CLOSE
26.55,1,TOO CLOSE
26.91,0,TOO CLOSE
26.43,0,TOO CLOSE
26.67,0,TOO CLOSE
26.55,0,TOO CLOSE
26.55,0,TOO CLOSE
26.55,0,TOO CLOSE
26.91,0,TOO CLOSE
26.55,0,TOO CLOSE
26.32,0,TOO CLOSE
26.43,0,TOO CLOSE
26.67,0,TOO CLOSE
26.55,0,TOO CLOSE
27.03,0,TOO CLOSE
26.67,0,TOO CLOSE
27.65,0,TOO CLOSE
26.79,0,TOO CLOSE
26.67,0,TOO CLOSE
26.67,0,TOO CLOSE
26.67,0,TOO CLOSE
26.91,0,TOO CLOSE
27.65,0,TOO CLOSE
27.78,0,TOO CLOSE
27.03,0,TOO CLOSE
25.97,-1,TOO CLOSE
26.55,0,TOO CLOSE
26.91,0,TOO CLOSE
27.27,0,TOO CLOSE
26.43,0,TOO CLOSE
25.97,0,TOO CLOSE
26.91,0,TOO CLOSE
26.79,0,TOO CLOSE
27.03,0,TOO CLOSE
26.32,0,TOO CLOSE
26.67,0,TOO CLOSE
27.03,0,TOO CLOSE
27.4,0,TOO CLOSE
27.15,0,TOO CLOSE
26.79,0,TOO CLOSE
26.2,0,TOO CLOSE
26.2,0,TOO CLOSE
25.97,0,TOO CLOSE
25.32,0,TOO CLOSE
25.1,0,TOO CLOSE
25.86,0,TOO CLOSE
25.53,0,TOO CLOSE
25.21,0,TOO CLOSE
24.9,0,TOO CLOSE
,,No Face
,,No Face
,,No Face
,,No Face
,,No Face
52.17,1,Safe
54.55,1,Safe
60.61,1,Safe
67.42,1,Safe
65.93,-1,Safe
62.5,-1,Safe
61.22,-1,Safe
64.52,1,Safe
63.16,-1,Safe
64.52,1,Safe
53.57,-1,Safe
65.93,1,Safe
57.69,-1,Safe
60.61,1,Safe
63.16,1,Safe
65.93,1,Safe
65.22,0,Safe
63.16,-1,Safe
65.22,1,Safe
65.93,0,Safe
65.93,0,Safe
68.18,1,Safe
68.18,0,Safe
66.67,-1,Safe
66.67,0,Safe
68.97,1,Safe
67.42,-1,Safe
66.67,0,Safe
64.52,-1,Safe
66.67,1,Safe
68.18,1,Safe
67.42,0,Safe
68.97,1,Safe
70.59,1,Safe
67.42,-1,Safe
65.22,-1,Safe
68.18,1,Safe
63.16,-1,Safe
63.16,0,Safe
67.42,1,Safe
66.67,0,Safe
68.18,1,Safe
69.77,1,Safe
72.29,1,Safe
70.59,-1,Safe
67.42,-1,Safe
66.67,0,Safe
69.77,1,Safe
68.18,-1,Safe
70.59,1,Safe
75.95,1,Safe
72.29,-1,Safe
41.38,-1,Safe
39.47,-1,Safe
64.52,1,Safe
61.22,-1,Safe
40.27,-1,Safe
65.22,1,Safe
56.6,-1,Safe
61.86,1,Safe
67.42,1,Safe
64.52,-1,Safe
38.46,-1,Safe
63.16,1,Safe
67.42,1,Safe
68.18,0,Safe
69.77,1,Safe
72.29,1,Safe
62.5,-1,Safe
59.41,-1,Safe
65.93,1,Safe
60.61,-1,Safe
63.16,1,Safe
65.22,1,Safe
61.86,-1,Safe
65.22,1,Safe
62.5,-1,Safe
63.16,0,Safe
57.69,-1,Safe
63.83,1,Safe
58.25,-1,Safe
65.93,1,Safe
68.18,1,Safe
68.97,0,Safe
67.42,-1,Safe
68.18,0,Safe
67.42,0,Safe
67.42,0,Safe
63.16,-1,Safe
65.93,1,Safe
51.28,-1,Safe
65.93,1,Safe
48.39,-1,Safe
65.22,1,Safe
38.22,-1,Safe
