FrameNumber,PersonDetected,Confidence,DwellTime,Status
1,0,0.0,0.0,NO_PERSON
2,0,0.0,0.0,NO_PERSON
3,0,0.0,0.0,NO_PERSON
4,0,0.0,0.0,NO_PERSON
5,0,0.0,0.0,NO_PERSON
6,0,0.0,0.0,NO_PERSON
7,0,0.0,0.0,NO_PERSON
8,0,0.0,0.0,NO_PERSON
9,0,0.0,0.0,NO_PERSON
10,0,0.0,0.0,NO_PERSON
11,0,0.0,0.0,NO_PERSON
12,0,0.0,0.0,NO_PERSON
13,0,0.0,0.0,NO_PERSON
14,0,0.0,0.0,NO_PERSON
15,0,0.0,0.0,NO_PERSON
16,0,0.0,0.0,NO_PERSON
17,0,0.0,0.0,NO_PERSON
18,0,0.0,0.0,NO_PERSON
19,0,0.0,0.0,NO_PERSON
20,0,0.0,0.0,NO_PERSON
21,0,0.0,0.0,NO_PERSON
22,0,0.0,0.0,NO_PERSON
23,0,0.0,0.0,NO_PERSON
24,0,0.0,0.0,NO_PERSON
25,0,0.0,0.0,NO_PERSON
26,1,1.0,0.0,PRESENT
27,1,1.0,1.03,PRESENT
28,1,1.0,2.07,PRESENT
29,0,0.0,0.0,NO_PERSON
30,0,0.0,0.0,NO_PERSON
31,0,0.0,0.0,NO_PERSON
32,0,0.0,0.0,NO_PERSON
33,0,0.0,0.0,NO_PERSON
34,0,0.0,0.0,NO_PERSON
35,0,0.0,0.0,NO_PERSON
36,0,0.0,0.0,NO_PERSON
37,0,0.0,0.0,NO_PERSON
38,0,0.0,0.0,NO_PERSON
39,0,0.0,0.0,NO_PERSON
40,0,0.0,0.0,NO_PERSON
41,0,0.0,0.0,NO_PERSON
42,0,0.0,0.0,NO_PERSON
43,0,0.0,0.0,NO_PERSON
44,0,0.0,0.0,NO_PERSON
45,0,0.0,0.0,NO_PERSON
46,0,0.0,0.0,NO_PERSON
47,1,1.0,0.0,PRESENT
48,1,1.0,1.05,PRESENT
49,0,0.0,0.0,NO_PERSON
50,0,0.0,0.0,NO_PERSON
51,0,0.0,0.0,NO_PERSON
52,0,0.0,0.0,NO_PERSON
53,0,0.0,0.0,NO_PERSON
54,0,0.0,0.0,NO_PERSON
55,0,0.0,0.0,NO_PERSON
56,1,1.0,0.0,PRESENT
57,0,0.0,0.0,NO_PERSON
58,0,0.0,0.0,NO_PERSON
59,0,0.0,0.0,NO_PERSON
60,0,0.0,0.0,NO_PERSON
