FrameNumber,PersonDetected,Confidence,DwellTime,Status
1,1,1.0,0.0,PRESENT
2,1,1.0,1.08,PRESENT
3,1,1.0,2.13,PRESENT
4,1,1.0,3.15,PRESENT
5,1,1.0,4.18,PRESENT
6,1,1.0,5.21,PRESENT
7,1,1.0,6.25,PRESENT
8,1,1.0,7.29,PRESENT
9,0,0.0,0.0,NO_PERSON
10,0,0.0,0.0,NO_PERSON
11,0,0.0,0.0,NO_PERSON
12,0,0.0,0.0,NO_PERSON
13,0,0.0,0.0,NO_PERSON
14,0,0.0,0.0,NO_PERSON
15,0,0.0,0.0,NO_PERSON
16,1,1.0,0.0,PRESENT
17,1,1.0,1.03,PRESENT
18,1,1.0,2.07,PRESENT
19,1,1.0,3.09,PRESENT
20,1,1.0,4.12,PRESENT
21,1,1.0,5.18,PRESENT
22,1,1.0,6.2,PRESENT
23,1,1.0,7.26,PRESENT
24,0,0.0,0.0,NO_PERSON
25,0,0.0,0.0,NO_PERSON
26,0,0.0,0.0,NO_PERSON
27,0,0.0,0.0,NO_PERSON
28,0,0.0,0.0,NO_PERSON
29,0,0.0,0.0,NO_PERSON
30,1,1.0,0.0,PRESENT
31,1,1.0,1.03,PRESENT
32,1,1.0,2.07,PRESENT
33,1,1.0,3.11,PRESENT
34,1,1.0,4.15,PRESENT
35,1,1.0,5.19,PRESENT
36,1,1.0,6.22,PRESENT
37,1,1.0,7.26,PRESENT
38,0,0.0,0.0,NO_PERSON
39,0,0.0,0.0,NO_PERSON
40,0,0.0,0.0,NO_PERSON
41,0,0.0,0.0,NO_PERSON
42,0,0.0,0.0,NO_PERSON
43,0,0.0,0.0,NO_PERSON
44,1,1.0,0.0,PRESENT
45,1,1.0,1.03,PRESENT
46,1,1.0,2.05,PRESENT
47,1,1.0,3.08,PRESENT
48,1,1.0,4.11,PRESENT
49,1,1.0,5.17,PRESENT
50,1,1.0,6.19,PRESENT
51,1,1.0,7.22,PRESENT
52,0,0.0,0.0,NO_PERSON
53,0,0.0,0.0,NO_PERSON
54,0,0.0,0.0,NO_PERSON
55,0,0.0,0.0,NO_PERSON
56,1,1.0,0.0,PRESENT
57,1,1.0,1.05,PRESENT
58,1,1.0,2.09,PRESENT
59,1,1.0,3.12,PRESENT
60,1,1.0,4.16,PRESENT
